,median_log2fc,ci_lo,ci_hi,top30_support,n_datasets,n_positive,n_deposits,neuron_over_glia_log2
Prkaa2,0.069,-0.035,0.138,0.0,13,7,8,1.476
Lrrc75a,0.069,-0.064,0.241,0.0,10,7,5,-0.199
Fbxl19,0.069,-0.131,0.278,0.0002,12,8,7,0.568
Ncapd2,0.069,-0.21,0.281,0.0007,11,7,6,-1.429
Eva1c,0.069,-0.222,0.274,0.0005,12,8,7,0.176
Mgat4b,0.068,-0.015,0.184,0.0,13,9,8,0.842
Paqr7,0.068,-0.053,0.186,0.0,13,8,8,0.44
Tbc1d10b,0.068,0.014,0.107,0.0,13,10,8,0.755
Atp6v0c,0.068,-0.04,0.15,0.0,11,6,7,1.026
Pced1b,0.068,-0.145,0.333,0.0,11,8,6,0.497
Pianp,0.068,-0.09,0.167,0.0,12,7,7,1.458
Wipi2,0.068,-0.077,0.115,0.0,13,8,8,0.248
Spry1,0.068,-0.435,0.423,0.0003,11,6,6,-1.673
Nampt,0.068,-0.037,0.137,0.0,13,8,8,0.462
Rnf14,0.068,0.032,0.087,0.0,13,11,8,1.107
Nutf2,0.068,-0.069,0.147,0.0,11,7,6,0.089
Sik3,0.068,-0.12,0.218,0.0,12,8,7,-0.261
Ctxn1,0.068,-0.058,0.167,0.0,12,8,7,1.959
Mical2,0.068,-0.216,0.137,0.0,12,7,8,-1.083
Dock11,0.068,-0.039,0.194,0.0,13,9,8,0.729
Gnai3,0.068,-0.063,0.091,0.0,13,7,8,-0.185
Abcd2,0.068,-0.109,0.398,0.0152,12,8,7,-0.446
Vps9d1,0.068,-0.062,0.167,0.0,12,8,7,0.316
Nudt6,0.068,-0.272,0.389,0.0046,10,6,6,-0.164
Arhgap32,0.068,-0.019,0.199,0.0015,13,8,8,-0.683
Samd4b,0.068,-0.113,0.121,0.0,13,9,8,-0.649
Avl9,0.068,-0.077,0.216,0.0,13,7,8,0.055
Neo1,0.068,-0.101,0.118,0.0,13,8,8,0.299
Prmt7,0.068,0.016,0.085,0.0,13,10,8,0.56
Ina,0.068,0.02,0.203,0.0,11,9,6,2.292
Kif26b,0.068,-0.17,0.226,0.0016,12,8,7,1.378
Cenpc1,0.068,0.017,0.114,0.0,13,10,8,-0.052
Dpysl5,0.068,-0.007,0.145,0.0,13,9,8,1.46
Zfp7,0.068,-0.104,0.34,0.0058,10,6,6,0.397
Wrnip1,0.068,-0.042,0.146,0.0,13,9,8,0.386
Lin54,0.068,-0.128,0.207,0.0001,12,9,7,-0.38
Trdmt1,0.068,0.001,0.33,0.0,11,9,6,-0.83
Tmem59l,0.068,-0.015,0.24,0.0,13,9,8,2.126
Tm6sf1,0.068,-0.099,0.169,0.0,13,7,8,0.559
Skap2,0.068,-0.039,0.441,0.0157,13,7,8,-0.549
Wnk2,0.067,-0.015,0.219,0.0,12,8,7,0.85
Dnajb4,0.067,0.009,0.172,0.0,13,10,8,-0.391
Kif3a,0.067,-0.025,0.163,0.0,13,9,8,0.622
Abca5,0.067,-0.06,0.215,0.0,13,7,8,0.499
Slco3a1,0.067,-0.125,0.244,0.0,13,8,8,-0.062
Mia3,0.067,-0.001,0.152,0.0,13,9,8,0.219
Zfp738,0.067,-0.255,0.221,0.0,12,7,8,0.141
Arhgdig,0.067,-0.036,0.16,0.0,13,9,8,2.104
Nefm,0.067,-0.171,0.092,0.0,12,8,8,1.694
Dym,0.067,-0.017,0.197,0.0,13,9,8,0.261
Bcap29,0.067,-0.006,0.211,0.0,13,9,8,0.956
Tufm,0.067,-0.121,0.105,0.0,13,8,8,0.28
Cant1,0.067,0.013,0.241,0.0,13,12,8,-0.564
Elavl2,0.067,0.043,0.094,0.0,13,10,8,2.128
Ctr9,0.067,-0.013,0.119,0.0,13,9,8,0.002
Dpysl2,0.067,0.022,0.108,0.0,13,11,8,1.312
Zfp27,0.067,-0.216,0.202,0.0,11,6,6,0.093
Dock3,0.067,-0.03,0.196,0.0,13,8,8,1.863
Asphd2,0.067,-0.015,0.1,0.0,13,9,8,1.826
Ahcyl2,0.067,-0.007,0.117,0.0,13,9,8,0.848
Hs6st1,0.067,-0.026,0.205,0.0,13,9,8,0.63
Evl,0.067,0.02,0.094,0.0,13,12,8,1.441
Arl2bp,0.067,0.013,0.154,0.0,13,10,8,0.016
Nomo1,0.067,-0.023,0.206,0.0,13,8,8,0.757
Rnpepl1,0.067,-0.152,0.124,0.0,12,7,7,-1.215
Grk6,0.067,-0.024,0.135,0.0,13,9,8,0.288
Ephx1,0.067,-0.113,0.167,0.0,12,7,8,0.052
Rpusd3,0.067,-0.115,0.493,0.0729,11,7,7,0.243
Mapk1ip1l,0.067,-0.204,0.149,0.0,13,9,8,-0.052
Fdft1,0.067,-0.016,0.116,0.0,13,8,8,0.839
Ergic2,0.067,0.034,0.133,0.0,13,10,8,0.069
Akap7,0.067,0.02,0.325,0.0003,13,10,8,0.944
Stt3a,0.067,0.016,0.171,0.0,13,11,8,-1.057
Coro1c,0.067,-0.039,0.132,0.0,13,8,8,0.428
Ampd3,0.067,0.012,0.139,0.0,12,10,8,0.432
Clptm1,0.067,0.017,0.162,0.0,13,11,8,-0.057
Mllt1,0.066,-0.108,0.133,0.0,12,7,7,0.123
Wdr25,0.066,-0.093,0.317,0.0005,10,6,7,0.293
Zmym2,0.066,-0.043,0.12,0.0,13,7,8,0.305
Adcyap1r1,0.066,-0.147,0.357,0.0038,11,7,6,1.134
Ndst2,0.066,-0.048,0.154,0.0008,10,7,6,-1.005
Adat1,0.066,-0.068,0.207,0.0016,12,6,7,0.089
Tada2b,0.066,-0.103,0.303,0.0,11,7,7,0.054
Rgs7bp,0.066,0.021,0.233,0.0,13,10,8,1.4
Jmy,0.066,-0.134,0.151,0.0,13,8,8,-0.548
Aagab,0.066,-0.152,0.094,0.0,13,8,8,0.011
Plekhb2,0.066,0.013,0.157,0.0,13,11,8,1.523
Zbtb37,0.066,-0.137,0.305,0.0004,11,7,6,-0.588
Trmt1,0.066,-0.011,0.134,0.0,13,8,8,0.529
Hspa5,0.066,-0.095,0.09,0.0,13,7,8,-1.064
Fbrsl1,0.066,-0.055,0.176,0.0,12,8,7,0.043
